,Hotel,Type,Rating,Price,Address,Lat,Lng,url,ID
40,Ravel Hotel,Hotels,2.5,$$,8-08 Queens Plz S,40.753908,-73.949414,https://www.yelp.com/biz/ravel-hotel-long-island-city-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,O4S2ZhhQ674R1aCVpP7bHw
41,Courtyard by Marriott New York Manhattan/Midtown East,Hotels,4.0,$$,866 3rd Ave,40.7574547612934,-73.9699241362457,https://www.yelp.com/biz/courtyard-new-york-manhattan-midtown-east-new-york-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,m2eKA1AJTc47YpErc-ikhA
42,Hotel 17,Hotels,4.0,$$,225 E 17th St,40.73481,-73.98463,https://www.yelp.com/biz/hotel-17-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,uztSHCtNQi_d_5rkN2J7hQ
43,Madison Les Hotel,Hotels,,,154 Madison St,40.71223,-73.99269,,
44,Aloft New York Brooklyn,Hotels,3.0,$$,216 Duffield St,40.69171,-73.98453,https://www.yelp.com/biz/aloft-new-york-brooklyn-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PkJjSD067n6o9nnmyWNtQQ
45,Fairfield Inn by Marriott New York Manhattan/Financial District,Hotels,3.5,$$,161 Front St,40.705911,-74.004993,https://www.yelp.com/biz/fairfield-inn-by-marriott-new-york-manhattan-financial-district-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,LjHUOXB3Iw_l7NXW_nClqA
46,Hotel Mulberry,Hotels,4.0,$$,52 Mulberry St,40.7152699,-73.9995,https://www.yelp.com/biz/hotel-mulberry-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,b1zHJAiukUDnCkyeil7hOQ
47,The Pierre,Hotels,4.0,$$$$,2 E 61st St,40.765242,-73.972014,https://www.yelp.com/biz/the-pierre-new-york-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wr4yApe97nqETNqJJMrHsg
48,Walker Hotel Tribeca,Hotels,,,77 Walker St,40.7184170724422,-74.0022848660658,,
49,Hotel 50 Bowery NYC,Hotels,4.5,$$,50 Bowery,40.71599,-73.99683,https://www.yelp.com/biz/hotel-50-bowery-nyc-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GYO8lvStXGZAfFDRlOxQ1Q
50,Four Points by Sheraton New York Downtown,Hotels,2.5,$$,6 Platt St,40.70747657865638,-74.00640093846745,https://www.yelp.com/biz/four-points-by-sheraton-new-york-downtown-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hLwqr_sSzSAMIppEHcz4cQ
51,Pod 51,Hotels,3.5,$$,230 E 51st St,40.7558617771518,-73.9691277840614,https://www.yelp.com/biz/pod-51-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PmmTXis1gCL34mg2bZ9gtw
52,Long Beach Hotel,Hotels,2.5,$$,405 E Broadway,40.585109,-73.652076,https://www.yelp.com/biz/long-beach-hotel-long-beach?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hObG_aqfJDWSBD0IOJwy2g
53,Hotel RL Brooklyn,Hotels,3.0,$$,1080 Broadway,40.694313,-73.931017,https://www.yelp.com/biz/hotel-rl-brooklyn-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gZFGyZzA1ufuKCbXq5Y12A
54,Millennium Hilton New York Downtown,Hotels,3.5,$$$,55 Church St,40.711114,-74.010333,https://www.yelp.com/biz/millennium-hilton-new-york-downtown-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RBHSPpLaalwkAPfF2uJaTw
55,DoubleTree by Hilton Hotel & Suites Jersey City,Hotels,3.5,$$,455 Washington Blvd,40.723598,-74.0365603,https://www.yelp.com/biz/doubletree-by-hilton-hotel-and-suites-jersey-city-jersey-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,kGX54tkc0zfT5ZquEPtwuQ
56,Aloft Long Island City Manhattan View,Hotels,3.5,$$,27-45 Jackson Ave,40.74838,-73.93983,https://www.yelp.com/biz/aloft-long-island-city-manhattan-view-long-island-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,KaJGgcBqhU-Oqf0TE9LUeA
57,Harbor Motor Inn,Hotels,3.0,$,1730 Shore Pkwy,40.593643,-73.997314,https://www.yelp.com/biz/harbor-motor-inn-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,yMUedbxLLt7H3gElBxBoEQ
58,Loews Regency New York Hotel,Hotels,3.5,$$$,540 Park Ave,40.764573,-73.968998,https://www.yelp.com/biz/loews-regency-new-york-hotel-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,5U3Kk45q34GBCGcL828ZCw
59,Hotel on Rivington,Hotels,3.5,$$$,107 Rivington St,40.7199,-73.98803,https://www.yelp.com/biz/hotel-on-rivington-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Z4t_Wsmjgi8I5n1xPSQWTA
60,Hampton Inn Manhattan-Chelsea,Hotels,4.0,$$,108 W 24th St,40.7436548,-73.9930707,https://www.yelp.com/biz/hampton-inn-manhattan-chelsea-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,aCruJ1jAhr6iluwWLqP_vw
61,"Inn at Great Neck, BW Premier Collection",Hotels,4.0,$$$,30 Cuttermill Rd,40.7863295697179,-73.7291890382767,https://www.yelp.com/biz/inn-at-great-neck-bw-premier-collection-great-neck-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZhvXODjL9GeCZ9xAiyZoQQ
62,Wyndham Garden Brooklyn Sunset Park,Hotels,2.0,$$,457 39th Street,40.65189,-74.004477,https://www.yelp.com/biz/wyndham-garden-brooklyn-sunset-park-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,CBqL0djx1GM69gN0gD2yJw
63,Hyatt House Jersey City,Hotels,2.5,$$$,One Exchange Pl,40.7159065309252,-74.0339133588955,https://www.yelp.com/biz/hyatt-house-jersey-city-jersey-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,tAPYgQY3GnMFuGAuKkwUfg
64,Selina Chelsea New York City,Hotels,,,518 W 27th St,40.750424,-74.003409,,
65,"The Carlyle, A Rosewood Hotel",Hotels,3.5,$$$$,A Rosewood Hotel,40.77419,-73.96284,https://www.yelp.com/biz/the-carlyle-a-rosewood-hotel-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,UReqUKgLehSHPkuWfFMoig
66,Hilton Garden Inn New York West 35th St,Hotels,4.0,$$$,63 W 35th St,40.7503679301835,-73.9865054190159,https://www.yelp.com/biz/hilton-garden-inn-new-york-west-35th-st-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,WsWW63fz5yqWFpAdagb9KQ
67,Courtyard by Marriott Jersey City Newport,Hotels,3.5,$$,540 Washington Blvd,40.72770042447187,-74.03408214110493,https://www.yelp.com/biz/courtyard-by-marriott-jersey-city-newport-jersey-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,a3qXia8QjzuoFFVCje20_g
68,Pelham Garden Motel,Hotels,3.0,$,1990 E Gun Hill Rd,40.8618,-73.83059,https://www.yelp.com/biz/pelham-garden-motel-bronx-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,yfCAuHtdlxw-DWK77hIw_A
69,Courtyard by Marriott New York Manhattan/Midtown West,Hotels,4.5,$$,461 West 34th St,40.754698,-73.99865,https://www.yelp.com/biz/courtyard-by-marriott-new-york-manhattan-midtown-west-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,qwAUa1tcAJMrn2K7Ynbp8w
70,Courtyard by Marriott New York Manhattan/Times Square West,Hotels,4.0,$$,307 West 37th Street (West 37th Street & 8th Avenue),40.7544948680992,-73.9925694912836,https://www.yelp.com/biz/courtyard-by-marriott-new-york-manhattan-times-square-west-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,kumbWukbwNktxWQB4_FvDQ
71,Club Quarters,Hotels,4.0,$$,140 Washington St,40.709846496582,-74.0139694213867,https://www.yelp.com/biz/club-quarters-manhattan?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,giPwSjP4T0ZkXoygdbNfIA
72,Renaissance New York Midtown Hotel,Hotels,4.0,$$,218 W 35th St,40.7517557767437,-73.9910885742397,https://www.yelp.com/biz/renaissance-new-york-midtown-hotel-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,tsqlRfje_qAX5_nVESC-PQ
73,Sheraton Brooklyn New York,Hotels,2.5,$$,228 Duffield St,40.69149,-73.98476,https://www.yelp.com/biz/sheraton-brooklyn-new-york-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,I59qIIR-1mBYpAhH1-4ESg
74,Hotel Mimosa,Hotels,4.5,$$,79 Division St,40.714145,-73.993789,https://www.yelp.com/biz/hotel-mimosa-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,7kktzX2yS2CJhSprfNL3FQ
75,The James New York - NoMad,Hotels,3.0,$$$,22 E 29th St,40.7446399,-73.98551,https://www.yelp.com/biz/the-james-new-york-nomad-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,FfdQVbXd9zyMcaOYAqmWZA
76,Bronx Park Motel,Hotels,1.5,$,2500 Crotona Ave,40.856629,-73.881874,https://www.yelp.com/biz/bronx-park-motel-bronx?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zofvKgVX3j4fdypKB5dCqg
77,MADE,Hotels,4.0,$$$,42 W 29th St,40.746296,-73.989638,https://www.yelp.com/biz/made-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,S552XBLEOFsT-efRQuNXDg
78,The Mark Hotel,Hotels,4.0,$$$$,25 E 77th St,40.77526,-73.96347,https://www.yelp.com/biz/the-mark-hotel-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,onKBo1qul0Pq27E5pVMAxA
79,The St. Regis New York,Hotels,4.0,$$$$,Two East 55th Street At Fifth Ave,40.76136,-73.97443,https://www.yelp.com/biz/the-st-regis-new-york-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,T8hRtRz3Q50VC8DX9NRfDg
80,YOTEL New York,Hotels,3.0,$$$,570 Tenth Ave,40.7591568,-73.9954561,https://www.yelp.com/biz/yotel-new-york-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,LtVO-82pFdwjq-hwMITAPg
81,W Hoboken,Hotels,3.5,$$$,225 River St,40.739509,-74.02771,https://www.yelp.com/biz/w-hoboken-hoboken?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JgJAG4E-r0ZQ-pp_oHBTCg
82,Orchard Street Hotel,Hotels,3.0,$$,163 Orchard St,40.72114,-73.98881,https://www.yelp.com/biz/orchard-street-hotel-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,yZXN-Qj3x81ivd3Lr6Cjbw
83,Chelsea Pines Inn,Hotels,4.0,$$,317 W 14th St,40.740295,-74.003415,https://www.yelp.com/biz/chelsea-pines-inn-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XRt4mVzNQbXkC6mxFl7-Sg
